 2023-05-08 11:08:28,441 - 'a'
 2023-05-08 11:08:28,775 - 'g'
 2023-05-08 11:08:28,783 - 'b'
 2023-05-08 11:08:29,386 - 'c'
 2023-05-08 11:08:29,541 - 'd'
 2023-05-08 11:08:30,366 - Key.backspace
 2023-05-08 11:08:30,496 - Key.backspace
 2023-05-08 11:08:30,640 - Key.backspace
 2023-05-08 11:08:30,778 - Key.backspace
 2023-05-08 11:08:30,923 - Key.backspace
 2023-05-08 11:16:32,427 - 'w'
 2023-05-08 11:16:33,045 - Key.enter
 2023-05-08 20:27:05,073 - Key.enter
 2023-05-08 20:27:23,742 - 'l'
 2023-05-08 20:27:24,038 - Key.enter
 2023-05-08 20:28:41,860 - 'f'
 2023-05-08 20:28:42,134 - 'o'
 2023-05-08 20:28:42,248 - 'r'
 2023-05-08 20:28:43,753 - 'i'
 2023-05-08 20:28:43,753 - 'n'
 2023-05-08 20:28:43,843 - 't'
 2023-05-08 20:28:43,846 - Key.space
 2023-05-08 20:28:44,590 - 'i'
 2023-05-08 20:28:45,296 - '='
 2023-05-08 20:28:45,569 - '0'
 2023-05-08 20:28:45,825 - ';'
 2023-05-08 20:28:46,098 - 'i'
 2023-05-08 20:28:46,269 - Key.shift
 2023-05-08 20:28:46,445 - '<'
 2023-05-08 20:28:47,512 - 'm'
 2023-05-08 20:28:47,582 - 'a'
 2023-05-08 20:28:47,686 - Key.shift
 2023-05-08 20:28:47,762 - 'T'
 2023-05-08 20:28:48,302 - Key.backspace
 2023-05-08 20:28:48,959 - 't'
 2023-05-08 20:28:49,785 - '.'
 2023-05-08 20:28:49,994 - 'l'
 2023-05-08 20:28:50,074 - 'e'
 2023-05-08 20:28:50,291 - 'n'
 2023-05-08 20:28:50,347 - 'g'
 2023-05-08 20:28:50,555 - 't'
 2023-05-08 20:28:50,723 - 'h'
 2023-05-08 20:28:52,759 - ';'
 2023-05-08 20:28:53,156 - 'i'
 2023-05-08 20:28:53,664 - '+'
 2023-05-08 20:28:53,827 - '+'
 2023-05-08 20:28:54,651 - Key.right
 2023-05-08 20:28:54,943 - Key.shift
 2023-05-08 20:28:55,074 - '{'
 2023-05-08 20:28:55,333 - Key.enter
 2023-05-08 20:28:58,371 - 'f'
 2023-05-08 20:28:58,483 - 'o'
 2023-05-08 20:28:58,622 - 'r'
 2023-05-08 20:29:00,538 - Key.backspace
 2023-05-08 20:29:00,917 - Key.backspace
 2023-05-08 20:29:01,150 - Key.backspace
 2023-05-08 20:29:02,399 - Key.down
 2023-05-08 20:29:02,952 - Key.shift
 2023-05-08 20:29:03,471 - Key.shift
 2023-05-08 20:29:03,505 - Key.shift
 2023-05-08 20:29:03,536 - Key.shift
 2023-05-08 20:29:03,570 - Key.shift
 2023-05-08 20:29:03,603 - Key.shift
 2023-05-08 20:29:03,636 - Key.shift
 2023-05-08 20:29:03,668 - Key.shift
 2023-05-08 20:29:03,701 - Key.shift
 2023-05-08 20:29:03,733 - Key.shift
 2023-05-08 20:29:03,765 - Key.shift
 2023-05-08 20:29:03,799 - Key.shift
 2023-05-08 20:29:03,830 - Key.shift
 2023-05-08 20:29:03,862 - Key.shift
 2023-05-08 20:29:03,899 - Key.shift
 2023-05-08 20:29:03,935 - Key.shift
 2023-05-08 20:29:03,964 - Key.shift
